City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Santa Marta,CO,75,1551834000,58,11.24,-74.21,86.0,20.8
Sijunjung,ID,76,1551838082,83,-0.69,100.95,78.0,3.4
Elsterwerda,DE,0,1551838024,86,51.46,13.52,37.4,5.82
Marsh Harbour,BS,48,1551837849,100,26.54,-77.06,73.36,15.59
Faanui,PF,80,1551837941,100,-16.48,-151.75,83.98,6.42
Saldanha,PT,92,1551837976,95,41.42,-6.55,50.55,18.84
Ancud,CL,90,1551834000,100,-41.87,-73.83,55.4,16.11
Dogondoutchi,NE,0,1551838092,39,13.64,4.03,66.34,4.41
Souillac,FR,0,1551837788,54,45.6,-0.6,55.4,23.04
Cidreira,BR,56,1551838092,92,-30.17,-50.22,74.62,4.63
Totma,RU,92,1551838092,87,59.98,42.76,18.78,16.71
Geraldton,CA,20,1551834000,64,49.72,-86.95,-2.21,3.36
Terrace,CA,5,1551834000,25,54.52,-128.61,37.4,11.41
West Fargo,US,75,1551837959,78,46.88,-96.9,12.0,6.93
Pevek,RU,76,1551838045,94,69.7,170.27,6.63,5.19
Ilulissat,GL,0,1551833400,56,69.22,-51.1,12.2,10.29
Griffith,AU,40,1551837616,48,-34.29,146.06,68.0,20.8
Halifax,CA,20,1551837966,79,44.65,-63.58,21.99,5.82
Cururupu,BR,68,1551838098,96,-1.82,-44.87,74.85,2.84
Lavrentiya,RU,88,1551838098,97,65.58,-170.99,29.98,7.76
Chateaubelair,VC,75,1551837798,83,13.28,-61.25,78.8,13.87
Ponta do Sol,BR,44,1551838099,90,-20.63,-46.0,67.51,2.95
Rio Grande,BR,20,1551837977,98,-32.03,-52.1,73.23,7.99
Sonoita,US,1,1551838096,12,31.68,-110.66,73.4,10.29
Canguaretama,BR,40,1551837600,83,-6.38,-35.14,78.8,2.24
Vestmanna,FO,0,1551837000,80,62.16,-7.17,35.6,3.36
Saint-Augustin,FR,0,1551837969,62,44.83,-0.61,55.4,13.87
Brasilia de Minas,BR,56,1551838113,92,-16.21,-44.43,67.96,3.06
Cortez,US,90,1551837857,45,37.35,-108.58,48.2,4.7
Lebu,ET,44,1551838032,89,8.96,38.73,42.49,2.73
Puerto Cabezas,NI,80,1551838113,91,14.04,-83.39,80.02,16.04
Tutoia,BR,48,1551838116,99,-2.76,-42.27,74.17,1.05
Nalut,LY,0,1551838117,80,31.86,10.98,42.63,2.73
Vanavara,RU,44,1551838117,60,60.35,102.28,24.0,11.01
Xunchang,CN,88,1551838117,94,28.45,104.71,51.04,2.17
Matara,PE,64,1551838066,98,-13.74,-72.9,43.12,1.61
Laguna,MX,90,1551833280,56,27.52,-110.01,73.4,3.36
Trostberg,DE,90,1551838037,93,48.03,12.56,39.99,3.36
Faya,SA,40,1551834000,82,18.39,42.45,55.4,5.82
Kupang,ID,40,1551835800,84,-10.16,123.6,86.0,4.7
Talnakh,RU,76,1551838125,83,69.49,88.39,8.7,15.48
Mutum,BR,68,1551838125,96,-19.82,-41.44,68.32,3.06
Barrow,AR,24,1551837889,40,-38.31,-60.23,66.43,8.43
Omsukchan,RU,76,1551838125,65,62.53,155.8,-2.33,4.52
Georgetown,GY,20,1551834000,83,6.8,-58.16,78.8,6.93
Road Town,VG,20,1551838032,69,18.42,-64.62,78.8,11.41
Butka,RU,48,1551838126,88,56.72,63.78,11.31,11.45
Vardo,US,90,1551838007,38,39.62,-77.74,30.2,12.75
Fort Nelson,CA,75,1551834000,67,58.81,-122.69,17.6,5.82
Kalmunai,LK,0,1551838127,98,7.42,81.82,80.25,3.06
Yellowknife,CA,20,1551834000,66,62.45,-114.38,12.2,4.7
Kodiak,US,1,1551838114,40,39.95,-94.76,17.6,6.93
Bathsheba,BB,40,1551834000,69,13.22,-59.52,78.8,20.8
Pervomayskoye,RU,56,1551838128,88,57.07,86.23,17.25,6.42
Saveh,IR,24,1551838128,79,35.02,50.36,32.77,2.39
Lasa,CY,0,1551837636,87,34.92,32.53,50.0,10.29
Atar,MR,0,1551837974,29,20.52,-13.05,50.14,4.63
Iberia,PE,20,1551838129,92,-11.41,-69.49,76.33,3.06
Dharchula,IN,0,1551838129,74,29.85,80.53,30.03,1.72
Atuona,PF,92,1551838129,100,-9.8,-139.03,80.7,15.26
Samarai,PG,20,1551838130,100,-10.62,150.67,84.16,4.74
Beterou,BJ,0,1551838130,53,9.2,2.26,69.22,4.41
Vredendal,ZA,12,1551838130,94,-31.68,18.49,54.1,3.18
Khatanga,RU,88,1551838130,80,71.98,102.47,0.91,8.99
Elizabeth City,US,1,1551837913,74,36.3,-76.22,35.6,9.33
Fairbanks,US,75,1551838115,49,64.84,-147.72,28.0,7.31
Arraial do Cabo,BR,44,1551838131,94,-22.97,-42.02,79.53,11.34
Butaritari,KI,92,1551838131,100,3.07,172.79,74.44,4.41
Shashi,CN,92,1551838131,94,27.02,114.08,53.02,3.06
Mandiana,GN,0,1551838132,41,10.62,-8.7,68.01,6.87
Suleja,NG,40,1551834000,78,9.18,7.18,75.2,8.05
Iqaluit,CA,5,1551837765,68,63.75,-68.52,-18.01,8.05
Christchurch,NZ,0,1551837787,47,-43.53,172.64,84.99,10.29
Chuy,UY,56,1551838035,97,-33.69,-53.46,68.32,7.43
Caucaia,BR,40,1551838096,78,-3.73,-38.66,82.4,8.05
Sur,OM,0,1551838141,100,22.57,59.53,67.38,2.84
San Cristobal,EC,75,1551837708,87,-0.39,-78.55,59.0,4.7
Houma,CN,0,1551837874,55,35.63,111.36,51.04,1.95
Escanaba,US,1,1551837921,54,45.75,-87.06,5.0,6.93
Umm Kaddadah,SD,0,1551838143,24,13.6,26.69,64.95,13.69
Bubaque,GW,0,1551838144,98,11.28,-15.83,76.11,6.64
Padang,ID,20,1551834000,78,-0.92,100.36,78.8,2.24
Huarmey,PE,36,1551838144,83,-10.07,-78.15,69.13,2.84
Luderitz,NA,0,1551838144,89,-26.65,15.16,59.28,1.83
Olovyannaya,RU,32,1551838144,38,50.94,115.59,27.73,7.76
Beringovskiy,RU,32,1551837987,95,63.05,179.32,24.85,3.74
Zhigansk,RU,92,1551838148,82,66.77,123.37,9.64,12.01
Ribas do Rio Pardo,BR,24,1551838148,82,-20.45,-53.76,74.71,7.65
Meulaboh,ID,24,1551838148,100,4.14,96.13,82.99,3.62
Deputatskiy,RU,0,1551838149,69,69.3,139.9,-11.24,3.85
Arlit,NE,0,1551838149,46,18.74,7.39,57.3,3.4
Ugoofaaru,MV,0,1551838149,99,5.67,73.0,82.9,11.01
Trincomalee,LK,0,1551838149,94,8.58,81.23,79.66,4.29
Potiskum,NG,0,1551838150,30,11.71,11.08,69.13,8.55
Tasiilaq,GL,36,1551833400,41,65.61,-37.64,19.4,24.16
Menongue,AO,76,1551838150,91,-14.66,17.68,62.61,5.19
Airai,TL,36,1551838150,71,-8.93,125.41,80.83,1.95
Hamilton,BM,75,1551837916,88,32.3,-64.78,71.6,27.51
Lac du Bonnet,CA,64,1551837869,78,50.25,-96.06,8.01,3.18
Yulara,AU,0,1551834000,32,-25.24,130.99,82.4,14.99
Riverton,US,1,1551837679,53,43.02,-108.38,23.0,8.05
Bela Vista,BR,32,1551838152,82,-22.11,-56.53,77.1,4.18
Cherskiy,RU,80,1551837916,71,68.75,161.3,1.05,3.51
Tanout,NE,0,1551838153,27,14.97,8.88,63.19,6.53
Ebeltoft,DK,64,1551837871,100,56.2,10.68,36.0,2.24
Hofn,IS,8,1551838154,100,64.25,-15.21,28.99,8.43
Abha,SA,40,1551834000,82,18.22,42.5,55.4,5.82
Ixtapa,MX,5,1551837916,83,20.71,-105.21,77.0,6.93
Evensk,RU,80,1551838154,100,61.92,159.24,12.21,6.76
Iracoubo,GF,100,1551838155,93,5.48,-53.21,74.53,5.53
Guatire,VE,20,1551837921,83,10.47,-66.54,77.0,5.82
Vestmannaeyjar,IS,0,1551838045,100,63.44,-20.27,25.08,7.65
Champerico,MX,5,1551833220,73,16.38,-93.6,69.8,28.86
Tiksi,RU,64,1551838063,67,71.64,128.87,9.55,10.45
Sao Felix do Xingu,BR,56,1551838156,100,-6.64,-51.99,69.94,0.94
San Patricio,PY,8,1551838156,76,-26.98,-56.83,76.87,5.41
Victoria,BN,75,1551835800,70,5.28,115.24,86.0,3.36
The Valley,AI,75,1551837702,61,18.22,-63.06,78.8,10.29
Hasaki,JP,75,1551837875,76,35.73,140.83,57.0,4.7
Puerto Maldonado,PE,36,1551838157,98,-12.59,-69.19,76.2,0.6
Castro,CL,90,1551834000,100,-42.48,-73.76,55.4,16.11
Praya,ID,40,1551837600,74,-8.71,116.27,86.0,3.36
Dunedin,NZ,0,1551837891,56,-45.87,170.5,76.87,3.18
Tiznit,MA,44,1551838161,95,29.7,-9.73,51.45,2.73
Touros,BR,20,1551834000,94,-5.2,-35.46,77.0,3.36
Koungheul,SN,0,1551838161,55,13.98,-14.8,65.13,3.74
Fukue,JP,75,1551837850,66,35.03,136.69,62.01,9.17
Big Rapids,US,75,1551838113,85,43.7,-85.48,14.0,6.93
Alofi,NU,75,1551837600,70,-19.06,-169.92,84.2,19.46
Fomboni,KM,88,1551838162,100,-12.28,43.74,83.08,9.44
Dikson,RU,64,1551838012,100,73.51,80.55,9.01,12.8
Gazojak,TM,92,1551838166,80,41.19,61.4,37.09,6.42
Ushtobe,KZ,76,1551838166,87,45.25,77.98,31.24,2.73
Katsuura,JP,75,1551837284,62,33.93,134.5,55.4,2.24
Chifeng,CN,80,1551838170,82,42.27,118.96,24.58,10.67
Turangi,NZ,0,1551837904,63,-39.0,175.93,72.0,8.01
Kruisfontein,ZA,0,1551838076,76,-34.0,24.73,64.9,10.11
Kaitangata,NZ,8,1551838078,60,-46.28,169.85,73.0,4.0
Chihuahua,MX,75,1551837940,64,28.66,-106.08,66.2,10.29
Tabou,CI,24,1551838171,96,4.42,-7.36,83.58,12.01
Saint Anthony,US,90,1551837956,50,43.97,-111.68,33.8,4.7
La Merced,PE,68,1551838172,97,-11.06,-75.33,52.35,1.72
Ostrovnoy,RU,8,1551838172,93,68.05,39.51,12.3,19.95
Mnogovershinnyy,RU,20,1551838172,53,53.94,139.92,17.02,5.75
El Estor,GT,12,1551838173,82,15.53,-89.34,74.35,2.28
Vila Franca do Campo,PT,40,1551838057,58,37.72,-25.43,55.0,9.17
Praia da Vitoria,PT,40,1551837714,71,38.73,-27.07,53.6,18.72
Sept-Iles,CA,5,1551838102,59,50.2,-66.38,3.99,4.7
Vanimo,PG,88,1551838174,100,-2.67,141.3,82.0,8.99
Pangnirtung,CA,44,1551838174,69,66.15,-65.72,-5.75,4.97
Kiama,AU,0,1551837922,33,-34.67,150.86,86.0,27.51
Voh,NC,24,1551838175,97,-20.95,164.69,79.12,11.01
Charters Towers,AU,8,1551838175,79,-20.07,146.27,84.52,9.1
Sao Filipe,CV,0,1551838175,98,14.9,-24.5,70.03,18.05
Aklavik,CA,20,1551834000,57,68.22,-135.01,17.6,2.24
Port Elizabeth,US,1,1551837848,73,39.31,-74.98,32.0,5.82
Erzin,TR,0,1551838004,100,36.95,36.2,51.8,3.36
Maracacume,BR,32,1551838176,95,-2.04,-45.96,72.46,2.84
Piney Green,US,1,1551838149,86,35.09,-78.48,37.99,5.53
Kasempa,ZM,92,1551838176,73,-13.46,25.83,67.06,3.4
Mitsamiouli,KM,92,1551838176,97,-11.38,43.28,83.08,9.66
Kungurtug,RU,20,1551838177,57,50.6,97.53,24.58,2.73
Leh,IN,32,1551838177,73,34.16,77.58,-7.78,1.05
Nanortalik,GL,80,1551838066,100,60.14,-45.24,27.1,43.33
Cumberland,US,1,1551837931,67,41.97,-71.43,21.99,5.82
Belaya Gora,RU,0,1551838177,68,68.54,146.19,-15.43,4.18
Grindavik,IS,40,1551838156,92,63.84,-22.43,26.6,9.17
Kendari,ID,80,1551838178,87,-3.99,122.52,81.15,3.62
Gambela,ET,20,1551838179,85,8.25,34.59,60.94,3.18
Gusau,NG,0,1551838179,52,12.17,6.66,65.31,3.51
Lincoln,GB,92,1551837963,100,53.23,-0.54,46.99,13.87
Bud,NO,0,1551837639,100,62.91,6.91,32.0,16.11
Ribeira Grande,PT,32,1551838010,100,38.52,-28.7,58.33,14.81
Port Hedland,AU,0,1551835800,56,-20.31,118.58,96.8,10.29
Yining,CN,76,1551838180,89,29.04,114.56,53.16,2.84
Nabire,ID,56,1551838181,82,-3.36,135.5,78.81,2.73
Jambi,ID,44,1551838181,90,-1.6,103.62,83.08,3.29
Sangar,RU,44,1551838120,67,63.92,127.47,-1.34,4.74
Inongo,CD,68,1551838181,97,-1.93,18.29,73.95,2.95
Lompoc,US,75,1551838077,76,34.64,-120.46,57.2,8.05
Folkestone,US,1,1551838175,44,34.1,-80.94,44.6,8.05
Guerrero Negro,MX,76,1551838182,82,27.97,-114.04,60.85,7.99
Tungor,RU,8,1551838182,100,53.39,142.95,12.43,11.01
Teguise,ES,0,1551835800,72,29.06,-13.56,62.6,2.24
Lagoa,PT,40,1551837982,87,37.14,-8.45,60.8,14.99
Ambunti,PG,92,1551838183,99,-4.22,142.82,75.03,1.83
Port-Gentil,GA,48,1551838183,100,-0.72,8.78,78.13,2.73
Abnub,EG,0,1551834000,76,27.27,31.15,48.2,9.17
Great Bend,US,1,1551837715,72,38.36,-98.78,19.0,4.7
Ambilobe,MG,76,1551838183,97,-13.19,49.05,73.05,2.73
Taywarah,AF,76,1551838184,94,33.35,64.42,28.23,2.39
Sunland Park,US,75,1551838156,24,31.8,-106.58,59.0,9.17
Katherine,AU,0,1551835800,44,-14.47,132.26,93.2,6.93
Shitkino,RU,8,1551838184,74,56.37,98.35,28.63,3.4
Mayumba,GA,88,1551838185,100,-3.44,10.65,76.87,1.05
Muriwai Beach,NZ,0,1551838162,53,-36.82,174.45,82.0,10.29
San Quintin,PH,0,1551838185,47,17.54,120.52,86.1,3.62
Warrnambool,AU,36,1551838185,93,-38.38,142.48,59.32,18.72
Young,UY,0,1551838077,95,-32.7,-57.63,73.0,7.43
Stantsionno-Oyashinskiy,RU,68,1551838186,90,55.47,83.82,18.96,8.77
Moron,VE,68,1551838186,94,10.49,-68.2,67.56,2.73
Batticaloa,LK,0,1551838042,100,7.71,81.69,80.29,2.39
Ust-Kut,RU,48,1551838187,70,56.78,105.75,29.26,7.31
Rodnykove,UA,76,1551838187,93,47.68,37.95,37.27,5.41
Kandrian,PG,88,1551838187,100,-6.21,149.55,77.05,3.51
Lekoni,GA,20,1551838187,95,-1.58,14.26,67.83,5.19
Maniitsoq,GL,36,1551838188,76,65.42,-52.9,12.75,7.65
Palmer,US,90,1551838115,58,61.6,-149.11,34.0,4.7
Kurumkan,RU,0,1551838188,72,54.33,110.32,19.81,1.72
Kondinskoye,RU,0,1551838189,81,59.65,67.41,6.0,7.99
Krasnyy Yar,RU,92,1551838189,93,50.7,44.73,33.81,13.47
Banepa,NP,20,1551837000,87,27.63,85.52,48.2,2.24
Apartado,CO,8,1551838030,82,7.88,-76.63,77.91,7.65
Isla Vista,US,75,1551838102,76,34.41,-119.86,59.0,8.05
Tobol,SE,88,1551835200,79,59.83,12.54,21.2,5.82
Sisimiut,GL,36,1551838151,78,66.94,-53.67,1.0,2.06
Sabha,LY,0,1551838190,56,27.03,14.43,43.71,3.51
Mokhsogollokh,RU,68,1551838191,75,61.4,128.95,17.61,5.53
Wajima,JP,75,1551834000,46,37.4,136.9,53.6,6.93
Ulladulla,AU,0,1551837786,33,-35.36,150.48,86.0,27.51
Joao Pinheiro,BR,80,1551838194,81,-17.74,-46.17,71.29,5.75
Porterville,US,75,1551837916,76,36.07,-119.02,57.99,24.16
Radhan,PK,0,1551838195,67,27.18,67.95,58.15,4.29
Lubango,AO,48,1551838195,100,-14.92,13.49,60.76,1.39
Glodeni,MD,0,1551838082,55,47.77,27.5,41.0,3.36
Marawi,PH,0,1551837656,73,8.0,124.29,81.0,4.0
Cayenne,GF,92,1551835800,88,4.94,-52.33,75.2,7.99
Hollola,FI,0,1551837929,85,60.99,25.5,3.99,1.01
Sawankhalok,TH,0,1551838178,83,17.31,99.83,87.01,2.24
Aswan,EG,0,1551838201,94,24.09,32.9,44.38,4.18
Urengoy,RU,68,1551838206,88,65.96,78.37,5.95,12.12
Pangai,TO,20,1551834000,70,-19.8,-174.35,84.2,16.11
Garoua,CM,0,1551838234,41,9.31,13.39,73.23,5.53
Tuatapere,NZ,0,1551838054,60,-46.13,167.69,69.49,14.81
Kodinsk,RU,56,1551838235,65,58.6,99.18,23.77,7.43
Pozhva,RU,88,1551838238,86,59.09,56.08,27.51,21.85
Karratha,AU,0,1551838240,25,-20.74,116.85,101.35,7.99
Los Llanos de Aridane,ES,40,1551837608,63,28.66,-17.92,64.4,6.93
Clyde River,CA,90,1551834000,83,70.47,-68.59,-7.61,2.24
Monrovia,LR,20,1551834000,94,6.33,-10.8,77.0,5.75
Minna,NG,24,1551838274,82,9.62,6.55,75.61,5.64
Chokurdakh,RU,0,1551838277,77,70.62,147.9,-17.68,3.29
Olutanga,PH,20,1551838280,95,7.31,122.85,84.3,5.19
Belyy Yar,RU,40,1551835800,53,53.6,91.39,26.6,4.18
Yumen,CN,24,1551838281,67,40.29,97.04,30.88,4.41
Rabo de Peixe,PT,40,1551838238,58,37.8,-25.58,55.0,9.17
Fergus Falls,US,1,1551837887,84,46.28,-96.08,8.6,8.05
Seydisehir,TR,48,1551838285,92,37.42,31.85,26.7,0.94
Tabuk,PH,0,1551838286,42,17.41,121.44,83.53,1.95
Akureyri,IS,90,1551834000,68,65.68,-18.09,24.8,5.82
Coquimbo,CL,0,1551834000,87,-29.95,-71.34,60.8,6.42
Pekin,US,1,1551838144,57,40.57,-89.64,17.6,5.82
Lethem,GY,0,1551838287,55,3.38,-59.8,82.81,14.14
Mount Isa,AU,0,1551835800,21,-20.73,139.49,95.0,10.29
Rafai,CF,8,1551838290,80,4.95,23.92,70.98,2.84
Pueblo Nuevo Solistahuacan,MX,5,1551833220,73,17.1,-92.88,69.8,28.86
Pitimbu,BR,0,1551834000,94,-7.47,-34.81,77.0,4.7
Sacele,RO,44,1551838275,66,45.62,25.69,39.99,3.4
Kang,BW,76,1551838291,52,-23.67,22.79,74.44,10.67
Kumluca,TR,8,1551838292,78,36.37,30.29,21.07,1.61
Neuquen,AR,0,1551834000,45,-38.95,-68.06,64.4,7.54
Adet,ET,0,1551838295,73,11.26,37.49,52.48,1.39
Isangel,VU,75,1551834000,74,-19.55,169.27,87.8,9.17
Usolye,RU,80,1551837855,80,59.42,56.68,18.0,5.99
Kundiawa,PG,92,1551838299,92,-6.02,144.97,64.72,1.39
Babstovo,RU,0,1551838299,53,48.12,132.48,30.79,8.43
Phalaborwa,ZA,92,1551834000,88,-23.95,31.14,71.6,6.93
Ambon,FR,90,1551838273,87,47.55,-2.56,55.99,18.34
Nemuro,JP,0,1551834000,64,43.32,145.57,35.6,14.99
North Bend,US,90,1551838230,87,43.41,-124.22,42.8,3.36
Mazagao,BR,75,1551834000,100,-0.12,-51.29,75.2,5.82
Acoyapa,NI,56,1551838300,71,11.97,-85.17,76.78,13.47
San Roque,EC,75,1551834000,87,0.3,-78.23,59.0,4.7
Almaznyy,RU,0,1551835800,86,48.03,40.04,41.0,13.42
Fortuna,ES,75,1551838098,87,38.18,-1.13,59.0,2.62
Terney,RU,0,1551838314,62,45.05,136.61,36.37,11.79
Darab,IR,0,1551838314,52,28.75,54.55,27.82,2.62
Macapa,BR,75,1551834000,100,0.05,-51.07,75.2,5.82
Portland,US,75,1551837972,40,45.52,-122.67,41.0,16.11
Dayong,PH,24,1551838318,96,11.74,122.04,80.65,19.73
Luganville,VU,32,1551838318,98,-15.51,167.18,83.44,5.3
Sosnovo-Ozerskoye,RU,8,1551838318,74,52.53,111.54,23.5,5.19
Morant Bay,JM,20,1551834000,57,17.88,-76.41,80.6,5.82
Sajanan,TN,8,1551834000,100,37.06,9.24,48.2,5.82
Banda Aceh,ID,12,1551838322,91,5.56,95.32,81.28,2.95
Henties Bay,NA,76,1551837725,95,-22.12,14.28,66.0,5.99
Manapparai,IN,20,1551835800,69,10.61,78.42,78.8,4.7
Beloha,MG,8,1551838323,86,-25.17,45.06,74.71,12.01
Orodara,BF,0,1551834000,16,10.98,-4.92,78.8,9.17
Pokhara,NP,24,1551838261,58,28.21,83.99,50.55,2.73
Togur,RU,56,1551838327,80,58.36,82.83,18.1,8.43
Alta Floresta,BR,32,1551838327,94,-9.87,-56.08,74.85,2.39
Sawakin,SD,0,1551834000,68,19.1,37.33,69.8,6.93
Broken Hill,AU,0,1551834000,42,-31.97,141.45,68.0,23.04
Klaksvik,FO,0,1551837000,80,62.23,-6.59,35.6,3.36
Santa Rosa,AR,44,1551838193,58,-36.62,-64.29,65.58,9.22
Altay,CN,32,1551838330,66,47.83,88.13,17.65,2.28
Muravlenko,RU,0,1551838330,67,63.79,74.5,-1.16,9.22
Lorengau,PG,8,1551838331,100,-2.02,147.27,83.31,5.08
Khamgaon,IN,0,1551838331,42,20.71,76.57,68.41,4.63
Maceio,BR,0,1551837600,83,-9.67,-35.74,77.0,1.12
Cabot,US,40,1551838056,32,34.97,-92.02,37.4,8.05
Toowoomba,AU,75,1551838268,48,-27.56,151.95,91.0,8.05
Caravelas,BR,76,1551838332,100,-17.73,-39.27,83.13,12.8
Erenhot,CN,0,1551838332,38,43.65,111.97,28.72,5.08
Taoudenni,ML,0,1551838332,29,22.68,-3.98,49.51,6.87
Ventspils,LV,75,1551835200,73,57.39,21.56,24.8,5.82
Norrtalje,SE,0,1551838303,84,59.76,18.7,17.01,2.24
Cabo San Lucas,MX,75,1551837945,60,22.89,-109.91,73.4,4.7
Centralia,US,1,1551838107,62,39.21,-92.14,21.2,8.05
Chapais,CA,90,1551834900,77,49.78,-74.86,1.4,4.7
Verkhnevilyuysk,RU,12,1551838334,79,63.45,120.31,21.97,7.99
Staraya Toropa,RU,64,1551838334,81,56.28,31.67,19.63,18.05
